Hospital_ID,District,City,State,City_Type,Hospital_Name,Reference_Period_AU595,Total_Beds,ICU_Beds,Non_ICU_Beds,Available_Beds,ICU_Rooms,General_Ward_Rooms,Private_Rooms,Semi_Private_Rooms,Emergency_Rooms,Operation_Theatres,Isolation_Rooms,Total_Rooms,Ventilators,Oxygen_Concentrators,ECG_Machines,Defibrillators,Pulse_Oximeters,CT_Scan,X_Ray_Machines,Ultrasound_Units,Blood_Analyzers,Patient_Monitors,Doctors_General_Physician,Doctors_Pulmonologist,Doctors_Cardiologist,Doctors_Intensivist,Doctors_Anesthesiologist,Doctors_Surgeon,Doctors_Radiologist,Doctors_Neurologist,Doctors_Orthopedic,Doctors_Pediatrician,Total_Doctors,Assurance_Available_Time,AU595_State_Rural_Hospitals,AU595_State_Urban_Hospitals,AU595_State_Total_Hospitals,AU595_State_Rural_Beds,AU595_State_Urban_Beds,AU595_State_Total_Beds
MH-1012,Mumbai City,Dadar,Maharashtra,Urban,Unity Multispeciality Hospital Dadar,31.08.2020,98,26,72,93,6,12,10,2,1,1,8,40,21,54,7,5,101,1,3,2,1,58,8,6,1,5,4,4,2,0,0,1,31,12 minutes,365,149,514,10950,22078,33028
MH-1013,Mumbai City,Bandra,Maharashtra,Urban,Galaxy Medical Trust Bandra,31.08.2020,107,44,63,92,11,10,4,9,1,2,15,52,36,55,4,15,115,1,3,2,3,64,10,10,1,8,6,6,1,0,1,0,43,13 minutes,365,149,514,10950,22078,33028
MH-1014,Mumbai City,Bandra,Maharashtra,Urban,Lilavati Health Care Bandra,31.08.2020,94,28,66,78,7,11,7,9,1,1,8,44,24,50,6,15,94,1,1,2,2,56,7,5,2,5,3,3,1,1,2,2,31,18 minutes,365,149,514,10950,22078,33028
MH-1015,Mumbai City,Bandra,Maharashtra,Urban,Aditya General Hospital Bandra,31.08.2020,121,37,84,86,9,14,6,7,1,1,12,50,29,63,4,2,125,1,2,1,2,72,9,9,2,7,4,3,2,0,0,0,36,20 minutes,365,149,514,10950,22078,33028
MH-1016,Mumbai City,Bandra,Maharashtra,Urban,Unity General Hospital Bandra,31.08.2020,90,38,52,73,9,8,5,2,1,3,13,41,30,50,3,13,90,1,2,1,1,54,8,8,3,7,4,2,1,0,1,1,35,20 minutes,365,149,514,10950,22078,33028
MH-1017,Mumbai City,Bandra,Maharashtra,Urban,Medicover Trauma Centre Bandra,31.08.2020,116,39,77,115,9,12,9,1,1,4,11,47,31,60,4,19,120,1,1,1,3,69,9,8,3,7,5,5,1,1,2,0,41,20 minutes,365,149,514,10950,22078,33028
MH-1018,Mumbai City,Andheri,Maharashtra,Urban,Shivneri Health Care Andheri,31.08.2020,64,23,41,43,5,6,9,2,1,1,9,33,18,34,5,2,74,1,2,2,3,38,5,6,2,4,3,4,2,1,2,1,30,24 minutes,365,149,514,10950,22078,33028
MH-1019,Mumbai City,Andheri,Maharashtra,Urban,Sapphire Multispeciality Hospital Andheri,31.08.2020,103,15,88,84,3,14,11,10,1,3,4,46,13,52,8,6,110,1,2,2,3,61,7,5,2,3,1,6,1,1,2,2,30,13 minutes,365,149,514,10950,22078,33028
MH-1020,Mumbai City,Andheri,Maharashtra,Urban,Horizon Health Care Andheri,31.08.2020,86,26,60,84,6,10,12,1,1,1,10,41,20,46,6,14,87,1,2,2,3,51,8,5,3,5,4,4,2,0,0,2,33,18 minutes,365,149,514,10950,22078,33028
MH-1021,Mumbai City,Andheri,Maharashtra,Urban,Sunrise Super Speciality Hospital Andheri,31.08.2020,91,17,74,84,4,12,11,5,1,4,6,43,14,46,9,9,99,1,3,2,2,54,9,5,2,3,3,2,2,1,1,0,28,11 minutes,365,149,514,10950,22078,33028
MH-1022,Mumbai City,Andheri,Maharashtra,Urban,Shivneri Medical Trust Andheri,31.08.2020,80,23,57,59,5,9,7,1,1,1,9,33,19,44,2,3,82,1,1,2,3,48,6,6,1,4,2,4,2,1,2,1,29,10 minutes,365,149,514,10950,22078,33028
MH-1023,Mumbai City,Andheri,Maharashtra,Urban,Fortis Medical Trust Andheri,31.08.2020,77,31,46,65,7,7,7,6,1,1,12,41,25,38,4,10,83,1,2,1,2,46,6,7,4,6,4,1,2,1,2,2,35,15 minutes,365,149,514,10950,22078,33028
MH-1024,Mumbai City,Borivali,Maharashtra,Urban,Metro Trauma Centre Borivali,31.08.2020,73,25,48,52,6,8,7,3,1,1,10,36,20,36,7,7,75,1,2,1,1,43,6,6,2,5,3,4,2,1,1,1,31,16 minutes,365,149,514,10950,22078,33028
MH-1025,Mumbai City,Borivali,Maharashtra,Urban,Global Multispeciality Hospital Borivali,31.08.2020,83,24,59,79,6,9,6,3,1,3,7,35,21,41,8,1,86,1,1,1,3,49,6,4,1,4,4,1,1,1,2,1,25,11 minutes,365,149,514,10950,22078,33028
MH-1026,Mumbai City,Borivali,Maharashtra,Urban,Synergy Medical Centre Borivali,31.08.2020,52,9,43,34,2,7,6,3,1,1,5,25,9,29,5,2,53,1,3,1,1,31,6,2,1,1,1,2,2,1,0,2,18,28 minutes,365,149,514,10950,22078,33028
MH-1027,Mumbai City,Borivali,Maharashtra,Urban,Shivneri Nursing Home Borivali,31.08.2020,80,26,54,51,6,9,5,8,1,1,10,40,22,41,5,3,88,1,3,2,3,48,8,6,2,5,4,5,2,1,0,0,33,10 minutes,365,149,514,10950,22078,33028
MH-1028,Mumbai City,Kurla,Maharashtra,Urban,Noble Hospital Kurla,31.08.2020,69,14,55,54,3,9,8,6,1,3,7,37,11,36,4,6,73,1,3,2,3,41,5,4,1,2,1,2,2,1,2,0,20,17 minutes,365,149,514,10950,22078,33028
MH-1029,Mumbai City,Kurla,Maharashtra,Urban,Symbiosis Health Care Kurla,31.08.2020,84,16,68,69,4,11,2,4,1,2,4,28,13,47,6,6,91,1,3,2,2,50,8,5,2,3,3,4,2,1,1,0,29,13 minutes,365,149,514,10950,22078,33028
MH-1030,Mumbai City,Kurla,Maharashtra,Urban,Galaxy Super Speciality Hospital Kurla,31.08.2020,89,19,70,56,4,11,11,8,1,1,5,41,17,46,2,4,93,1,1,2,1,53,7,3,1,3,3,1,1,1,2,0,22,17 minutes,365,149,514,10950,22078,33028
MH-1031,Mumbai City,Kurla,Maharashtra,Urban,Medicover General Hospital Kurla,31.08.2020,73,15,58,72,3,9,9,7,1,2,5,36,13,39,2,2,79,1,2,1,3,43,7,5,1,3,1,2,2,0,0,0,21,29 minutes,365,149,514,10950,22078,33028
MH-1032,Mumbai City,Chembur,Maharashtra,Urban,Aarogyam Multispeciality Hospital Chembur,31.08.2020,82,25,57,55,6,9,3,1,1,2,10,32,21,45,6,1,91,1,3,1,1,49,8,5,2,5,3,2,1,0,2,0,28,10 minutes,365,149,514,10950,22078,33028
MH-1033,Mumbai City,Chembur,Maharashtra,Urban,Ruby Super Speciality Hospital Chembur,31.08.2020,113,23,90,69,5,15,10,10,1,3,9,53,19,56,5,5,123,1,3,1,2,67,8,6,1,4,2,3,1,0,0,0,25,14 minutes,365,149,514,10950,22078,33028
MH-1034,Mumbai City,Chembur,Maharashtra,Urban,Medicover Super Speciality Hospital Chembur,31.08.2020,45,17,28,29,4,4,5,1,1,1,8,24,15,25,3,2,54,1,1,2,3,27,5,5,2,3,2,1,1,0,2,1,22,23 minutes,365,149,514,10950,22078,33028
MH-1035,Mumbai City,Chembur,Maharashtra,Urban,Vedant Nursing Home Chembur,31.08.2020,109,25,84,69,6,14,2,8,1,1,9,41,21,54,9,6,115,1,2,2,3,65,8,5,2,5,4,6,2,1,2,1,36,11 minutes,365,149,514,10950,22078,33028
MH-1036,Mumbai City,Ghatkopar,Maharashtra,Urban,Global Multispeciality Hospital Ghatkopar,31.08.2020,79,24,55,79,6,9,8,1,1,1,8,34,21,43,5,7,79,1,1,2,3,47,7,6,2,4,3,2,2,0,1,1,28,15 minutes,365,149,514,10950,22078,33028
MH-1037,Mumbai City,Ghatkopar,Maharashtra,Urban,Lilavati Multispeciality Hospital Ghatkopar,31.08.2020,72,17,55,46,4,9,7,2,1,3,6,32,13,39,2,3,79,1,3,2,3,43,7,4,2,3,3,4,1,1,2,0,27,28 minutes,365,149,514,10950,22078,33028
MH-1038,Mumbai City,Ghatkopar,Maharashtra,Urban,Aarogyam General Hospital Ghatkopar,31.08.2020,94,15,79,77,3,13,4,7,1,1,6,35,12,49,6,8,96,1,2,2,2,56,8,5,2,3,2,3,1,0,2,1,27,16 minutes,365,149,514,10950,22078,33028
MH-1039,Mumbai City,Malad,Maharashtra,Urban,Care Medical Centre Malad,31.08.2020,75,25,50,55,6,8,2,4,1,2,9,32,20,40,2,3,83,1,3,2,1,45,7,5,3,5,4,1,1,1,2,0,29,25 minutes,365,149,514,10950,22078,33028
MH-1040,Mumbai City,Malad,Maharashtra,Urban,Metro Hospital Malad,31.08.2020,54,23,31,42,5,5,2,4,1,1,8,26,19,32,5,9,54,1,3,1,1,32,6,6,2,4,2,3,1,1,0,2,27,25 minutes,365,149,514,10950,22078,33028
MH-1041,Mumbai City,Malad,Maharashtra,Urban,Multispecialty Multispeciality Hospital Malad,31.08.2020,60,19,41,49,4,6,5,4,1,2,5,27,16,31,3,9,66,1,3,1,1,36,5,3,2,3,2,4,1,0,1,2,23,20 minutes,365,149,514,10950,22078,33028
MH-1042,Mumbai City,Malad,Maharashtra,Urban,Apollo Medical Trust Malad,31.08.2020,93,27,66,56,6,11,1,7,1,3,8,37,22,51,8,12,97,1,2,2,1,55,8,6,1,5,3,4,2,1,2,1,33,17 minutes,365,149,514,10950,22078,33028
MH-1043,Mumbai City,Goregaon,Maharashtra,Urban,Galaxy Nursing Home Goregaon,31.08.2020,45,20,25,38,5,4,1,3,1,1,6,21,18,24,2,11,48,1,3,2,3,27,6,6,3,4,2,3,1,0,1,1,27,28 minutes,365,149,514,10950,22078,33028
MH-1044,Mumbai City,Goregaon,Maharashtra,Urban,Care Hospital Goregaon,31.08.2020,69,16,53,52,4,8,7,5,1,2,4,31,13,38,6,5,71,1,2,2,2,41,7,4,1,3,3,1,1,0,2,2,24,23 minutes,365,149,514,10950,22078,33028
MH-1045,Mumbai City,Goregaon,Maharashtra,Urban,Fortis Hospital Goregaon,31.08.2020,55,11,44,34,2,7,8,3,1,2,3,26,10,32,4,5,61,1,3,2,1,33,6,2,2,2,1,3,2,0,2,0,20,16 minutes,365,149,514,10950,22078,33028
MH-1046,Mumbai City,Powai,Maharashtra,Urban,Noble Hospital & ICU Powai,31.08.2020,94,18,76,88,4,12,12,6,1,2,8,45,14,51,4,7,101,1,2,2,3,56,9,5,1,3,3,1,2,1,1,0,26,15 minutes,365,149,514,10950,22078,33028
MH-1047,Mumbai City,Powai,Maharashtra,Urban,Horizon Nursing Home Powai,31.08.2020,99,26,73,65,6,12,4,2,1,2,8,35,22,51,2,7,103,1,1,1,2,59,7,7,1,5,3,1,2,0,0,2,28,12 minutes,365,149,514,10950,22078,33028
MH-1048,Mumbai City,Powai,Maharashtra,Urban,Aarogyam Super Speciality Hospital Powai,31.08.2020,61,21,40,53,5,6,7,5,1,1,6,31,16,31,6,5,63,1,1,1,1,36,5,5,1,4,3,1,1,1,0,0,21,26 minutes,365,149,514,10950,22078,33028
MH-1049,Mumbai City,Vikhroli,Maharashtra,Urban,Wockhardt Medical Centre Vikhroli,31.08.2020,57,13,44,41,3,7,8,1,1,1,5,26,10,32,2,6,67,1,3,2,2,34,6,2,1,2,2,2,2,0,1,2,20,19 minutes,365,149,514,10950,22078,33028
MH-1050,Mumbai City,Vikhroli,Maharashtra,Urban,Sparsh General Hospital Vikhroli,31.08.2020,74,14,60,57,3,10,7,4,1,3,4,32,13,39,5,5,81,1,3,2,1,44,7,2,1,2,2,4,1,1,1,1,22,25 minutes,365,149,514,10950,22078,33028
MH-1051,Mumbai City,Dharavi,Maharashtra,Semi-Urban,Panchayat Multispeciality Hospital Dharavi,31.08.2020,26,7,19,24,1,3,3,2,1,1,4,15,7,16,2,1,27,1,1,2,1,15,4,3,1,1,1,1,2,0,1,1,15,31 minutes,365,149,514,10950,22078,33028
MH-1052,Mumbai City,Dharavi,Maharashtra,Semi-Urban,District Health Care Dharavi,31.08.2020,38,9,29,34,2,4,3,2,1,2,2,16,9,22,2,1,43,1,3,2,1,22,4,3,1,1,2,1,2,0,0,1,15,38 minutes,365,149,514,10950,22078,33028
MH-1053,Mumbai City,Mankhurd,Maharashtra,Semi-Urban,Health General Hospital Mankhurd,31.08.2020,24,6,18,24,1,3,3,1,1,1,4,14,4,17,2,4,30,1,2,2,1,14,3,2,1,1,1,1,1,0,2,0,12,35 minutes,365,149,514,10950,22078,33028
MH-1054,Mumbai City,Mankhurd,Maharashtra,Semi-Urban,Cooperative Medical Centre Mankhurd,31.08.2020,21,5,16,18,1,2,1,1,1,1,3,10,6,10,3,2,22,1,2,2,3,12,4,2,1,1,1,2,1,0,0,1,13,20 minutes,365,149,514,10950,22078,33028
MH-1055,Mumbai Suburban,Thane,Maharashtra,Urban,Galaxy Medical Centre Thane,31.08.2020,81,16,65,73,4,10,7,7,1,3,7,39,13,44,7,4,89,1,3,2,1,48,7,5,1,3,3,1,2,0,1,2,25,16 minutes,365,149,514,10950,22078,33028
MH-1056,Mumbai Suburban,Thane,Maharashtra,Urban,Bethany Nursing Home Thane,31.08.2020,92,26,66,63,6,11,2,9,1,1,8,38,22,48,3,7,93,1,1,2,3,55,8,7,1,5,4,3,2,0,1,0,31,20 minutes,365,149,514,10950,22078,33028
MH-1057,Mumbai Suburban,Thane,Maharashtra,Urban,Sunrise Medical Trust Thane,31.08.2020,77,23,54,73,5,9,8,4,1,3,8,38,19,39,3,10,79,1,3,1,1,46,8,5,2,4,3,3,2,0,1,0,28,16 minutes,365,149,514,10950,22078,33028
MH-1058,Mumbai Suburban,Thane,Maharashtra,Urban,Apollo Super Speciality Hospital Thane,31.08.2020,90,20,70,61,5,11,4,6,1,4,7,38,17,45,2,6,94,1,1,1,3,54,9,6,2,4,3,5,1,1,2,2,35,11 minutes,365,149,514,10950,22078,33028
MH-1059,Mumbai Suburban,Thane,Maharashtra,Urban,Aditya Medical Centre Thane,31.08.2020,61,25,36,39,6,6,6,6,1,3,7,35,20,34,3,1,64,1,3,2,2,36,7,7,3,5,3,3,2,1,1,1,33,25 minutes,365,149,514,10950,22078,33028
MH-1060,Mumbai Suburban,Thane,Maharashtra,Urban,Prime Trauma Centre Thane,31.08.2020,106,28,78,88,7,13,11,6,1,2,8,48,23,58,4,6,107,1,3,1,2,63,9,7,3,5,4,2,1,1,2,1,35,15 minutes,365,149,514,10950,22078,33028
MH-1061,Mumbai Suburban,Thane,Maharashtra,Urban,Life Nursing Home Thane,31.08.2020,92,26,66,79,6,11,3,3,1,4,7,35,21,49,5,4,94,1,1,1,2,55,7,7,3,5,3,3,1,1,0,0,30,20 minutes,365,149,514,10950,22078,33028
MH-1062,Mumbai Suburban,Thane,Maharashtra,Urban,Aarogyam Nursing Home Thane,31.08.2020,41,19,22,32,4,3,5,2,1,2,5,22,17,23,2,9,44,1,2,2,1,24,4,5,2,3,3,2,2,1,0,0,22,18 minutes,365,149,514,10950,22078,33028
MH-1063,Mumbai Suburban,Navi Mumbai,Maharashtra,Urban,Ekta Hospital & ICU Navi Mumbai,31.08.2020,60,18,42,57,4,7,6,2,1,2,5,27,15,30,3,5,67,1,3,1,2,36,5,3,2,3,3,1,2,0,1,2,22,15 minutes,365,149,514,10950,22078,33028
MH-1064,Mumbai Suburban,Navi Mumbai,Maharashtra,Urban,Sapphire Multispeciality Hospital Navi Mumbai,31.08.2020,85,19,66,64,4,11,12,7,1,1,7,43,15,43,2,5,92,1,3,1,3,51,7,4,1,3,2,1,2,0,0,2,22,11 minutes,365,149,514,10950,22078,33028
MH-1065,Mumbai Suburban,Navi Mumbai,Maharashtra,Urban,Medicover Nursing Home Navi Mumbai,31.08.2020,88,24,64,59,6,10,4,7,1,1,7,36,19,44,8,8,97,1,3,1,3,52,8,6,1,4,3,3,2,0,2,1,30,11 minutes,365,149,514,10950,22078,33028
MH-1066,Mumbai Suburban,Navi Mumbai,Maharashtra,Urban,Fortis Hospital Navi Mumbai,31.08.2020,80,26,54,48,6,9,11,2,1,3,9,41,22,40,5,14,87,1,1,2,2,48,7,7,1,5,4,1,2,0,2,2,31,15 minutes,365,149,514,10950,22078,33028
MH-1067,Mumbai Suburban,Navi Mumbai,Maharashtra,Urban,Vedant Hospital Navi Mumbai,31.08.2020,63,11,52,58,2,8,9,4,1,3,6,33,10,34,5,6,65,1,1,1,3,37,6,2,2,2,1,1,1,0,1,1,17,21 minutes,365,149,514,10950,22078,33028
MH-1068,Mumbai Suburban,Navi Mumbai,Maharashtra,Urban,Prime Medical Trust Navi Mumbai,31.08.2020,106,17,89,103,4,14,13,2,1,4,5,43,15,55,6,2,111,1,2,2,3,63,9,4,2,3,2,4,2,1,2,1,30,12 minutes,365,149,514,10950,22078,33028
MH-1069,Mumbai Suburban,Navi Mumbai,Maharashtra,Urban,Ekta Trauma Centre Navi Mumbai,31.08.2020,71,15,56,69,3,9,1,1,1,3,7,25,13,40,4,5,78,1,3,2,1,42,7,4,2,3,2,1,2,1,1,2,25,20 minutes,365,149,514,10950,22078,33028
MH-1070,Mumbai Suburban,Kalyan,Maharashtra,Urban,Care Nursing Home Kalyan,31.08.2020,59,16,43,40,4,7,2,5,1,1,6,26,14,32,2,3,60,1,1,2,2,35,5,5,1,3,2,3,2,1,1,1,24,23 minutes,365,149,514,10950,22078,33028
MH-1071,Mumbai Suburban,Kalyan,Maharashtra,Urban,Kokilaben Nursing Home Kalyan,31.08.2020,65,15,50,42,3,8,8,2,1,3,7,32,12,35,6,7,73,1,1,2,2,39,7,4,1,3,2,4,1,0,0,0,22,26 minutes,365,149,514,10950,22078,33028
MH-1072,Mumbai Suburban,Kalyan,Maharashtra,Urban,Kokilaben Medical Centre Kalyan,31.08.2020,44,13,31,35,3,5,5,3,1,2,4,23,11,23,4,6,54,1,1,2,3,26,3,2,1,2,1,1,2,0,1,2,15,24 minutes,365,149,514,10950,22078,33028
MH-1073,Mumbai Suburban,Kalyan,Maharashtra,Urban,Lotus Health Care Kalyan,31.08.2020,65,10,55,50,2,9,1,1,1,3,4,21,10,35,5,5,66,1,1,2,3,39,5,3,2,2,2,2,1,0,1,2,20,20 minutes,365,149,514,10950,22078,33028
MH-1074,Mumbai Suburban,Kalyan,Maharashtra,Urban,Lifeline Medical Trust Kalyan,31.08.2020,72,12,60,61,3,10,1,1,1,1,5,22,11,38,2,3,75,1,3,2,1,43,7,3,1,2,1,2,1,1,2,0,20,28 minutes,365,149,514,10950,22078,33028
MH-1075,Mumbai Suburban,Kalyan,Maharashtra,Urban,Sparsh Nursing Home Kalyan,31.08.2020,57,14,43,37,3,7,6,5,1,1,6,29,13,30,4,8,60,1,3,2,2,34,5,2,1,2,1,2,2,1,1,0,17,27 minutes,365,149,514,10950,22078,33028
MH-1076,Mumbai Suburban,Dombivli,Maharashtra,Urban,Unity Super Speciality Hospital Dombivli,31.08.2020,65,16,49,48,4,8,6,2,1,1,7,29,12,34,3,8,66,1,2,2,1,39,5,3,1,3,3,4,2,0,0,1,22,30 minutes,365,149,514,10950,22078,33028
MH-1077,Mumbai Suburban,Dombivli,Maharashtra,Urban,Central General Hospital Dombivli,31.08.2020,49,16,33,47,4,5,3,3,1,2,6,24,13,28,3,4,52,1,3,2,1,29,4,4,2,3,3,2,1,0,1,0,20,16 minutes,365,149,514,10950,22078,33028
MH-1078,Mumbai Suburban,Dombivli,Maharashtra,Urban,Unity Hospital Dombivli,31.08.2020,50,11,39,33,2,6,3,2,1,1,6,21,9,25,5,5,57,1,3,2,3,30,6,4,1,2,1,1,2,1,1,2,21,16 minutes,365,149,514,10950,22078,33028
MH-1079,Mumbai Suburban,Dombivli,Maharashtra,Urban,Aditya Medical Centre Dombivli,31.08.2020,65,19,46,40,4,7,5,4,1,1,7,29,16,36,5,3,74,1,3,1,2,39,7,4,1,3,3,3,2,1,2,2,28,28 minutes,365,149,514,10950,22078,33028
MH-1080,Mumbai Suburban,Dombivli,Maharashtra,Urban,Sparsh General Hospital Dombivli,31.08.2020,40,8,32,40,2,5,1,2,1,1,5,17,8,23,3,5,49,1,1,1,3,24,4,1,1,1,1,3,1,0,2,2,16,19 minutes,365,149,514,10950,22078,33028
MH-1081,Mumbai Suburban,Ulhasnagar,Maharashtra,Urban,Criticare Hospital & ICU Ulhasnagar,31.08.2020,51,10,41,35,2,6,5,3,1,2,6,25,10,28,2,6,53,1,3,1,3,30,5,4,2,2,2,2,1,1,2,1,22,23 minutes,365,149,514,10950,22078,33028
MH-1082,Mumbai Suburban,Ulhasnagar,Maharashtra,Urban,Bethany Super Speciality Hospital Ulhasnagar,31.08.2020,44,9,35,35,2,5,3,1,1,2,2,16,8,27,2,4,49,1,2,2,3,26,5,2,1,1,1,3,2,1,1,0,17,23 minutes,365,149,514,10950,22078,33028
MH-1083,Mumbai Suburban,Ulhasnagar,Maharashtra,Urban,Global General Hospital Ulhasnagar,31.08.2020,42,11,31,34,2,5,4,1,1,1,3,17,10,26,3,2,43,1,3,1,1,25,3,4,1,2,1,1,1,1,1,2,17,30 minutes,365,149,514,10950,22078,33028
MH-1084,Mumbai Suburban,Ulhasnagar,Maharashtra,Urban,Lotus Medical Trust Ulhasnagar,31.08.2020,48,10,38,39,2,6,2,3,1,1,3,18,9,26,4,1,49,1,3,1,3,28,6,4,1,2,1,2,1,0,1,1,19,18 minutes,365,149,514,10950,22078,33028
MH-1085,Mumbai Suburban,Bhiwandi,Maharashtra,Semi-Urban,Panchayat General Hospital Bhiwandi,31.08.2020,39,12,27,25,3,4,3,3,1,1,4,19,11,23,3,2,47,1,2,2,1,23,3,3,1,2,2,2,1,0,2,1,17,33 minutes,365,149,514,10950,22078,33028
MH-1086,Mumbai Suburban,Bhiwandi,Maharashtra,Semi-Urban,Health Medical Centre Bhiwandi,31.08.2020,37,8,29,27,2,4,3,3,1,1,2,16,6,19,2,4,42,1,1,1,2,22,4,1,1,1,2,2,2,0,1,2,16,34 minutes,365,149,514,10950,22078,33028
MH-1087,Mumbai Suburban,Bhiwandi,Maharashtra,Semi-Urban,Health Medical Trust Bhiwandi,31.08.2020,46,9,37,30,2,6,5,4,1,1,3,22,9,25,4,1,56,1,2,2,3,27,4,1,1,1,2,1,2,1,1,2,16,17 minutes,365,149,514,10950,22078,33028
MH-1088,Mumbai Suburban,Bhiwandi,Maharashtra,Semi-Urban,Township Health Care Bhiwandi,31.08.2020,34,6,28,29,1,4,4,1,1,2,2,15,4,21,2,1,42,1,3,1,3,20,5,1,1,1,1,2,1,0,2,2,16,36 minutes,365,149,514,10950,22078,33028
MH-1089,Mumbai Suburban,Bhiwandi,Maharashtra,Semi-Urban,Regional Health Care Bhiwandi,31.08.2020,41,7,34,27,1,5,1,4,1,1,4,17,7,22,4,1,47,1,2,1,3,24,3,3,1,1,1,2,2,0,2,0,15,19 minutes,365,149,514,10950,22078,33028
MH-1090,Mumbai Suburban,Ambarnath,Maharashtra,Semi-Urban,Township Trauma Centre Ambarnath,31.08.2020,15,8,7,10,2,1,1,1,1,1,4,11,7,9,3,4,21,0,2,1,3,9,4,3,1,1,2,1,1,1,2,0,16,43 minutes,365,149,514,10950,22078,33028
MH-1091,Mumbai Suburban,Ambarnath,Maharashtra,Semi-Urban,Regional Super Speciality Hospital Ambarnath,31.08.2020,26,4,22,23,1,3,2,1,1,1,2,11,4,15,2,2,29,1,3,1,1,15,4,1,1,1,1,1,1,0,2,0,12,27 minutes,365,149,514,10950,22078,33028
MH-1092,Mumbai Suburban,Ambarnath,Maharashtra,Semi-Urban,Community Nursing Home Ambarnath,31.08.2020,26,4,22,26,1,3,3,1,1,1,4,14,3,17,3,1,35,1,2,2,1,15,3,1,1,1,1,2,2,0,2,2,15,40 minutes,365,149,514,10950,22078,33028
